time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
1.3978,0.068308,1.584567,0.270251,22.250200,288.499500,356.355700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308725,1.733630,-2.330720,326.640200,55.810850,190.524900
1.4086,0.069215,1.585258,0.267337,22.010970,288.204900,356.569500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308742,1.733591,-2.330670,326.640300,55.809760,190.523800
1.4198,0.070228,1.585966,0.264472,21.806630,287.899000,356.835600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308756,1.733553,-2.330613,326.641400,55.806740,190.526300
1.4305,0.071213,1.586780,0.261558,21.680350,287.637900,357.082600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308771,1.733512,-2.330544,326.641500,55.804670,190.528000
1.4418,0.072287,1.587721,0.258671,21.544650,287.357100,357.309400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308780,1.733485,-2.330491,326.641500,55.802720,190.529100
1.4533,0.073415,1.588654,0.255784,21.330720,287.105200,357.563500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308793,1.733458,-2.330431,326.641100,55.799150,190.530500
1.4638,0.074604,1.589645,0.252987,21.144960,286.845200,357.813700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308802,1.733436,-2.330379,326.640900,55.797430,190.531000
1.4751,0.075923,1.590647,0.250264,20.991990,286.575400,358.068400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308807,1.733412,-2.330332,326.640400,55.795400,190.532000
1.4867,0.077355,1.591661,0.247578,20.879660,286.345900,358.354100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308810,1.733395,-2.330257,326.640500,55.794380,190.533800
1.4975,0.078919,1.592659,0.244953,20.728920,286.109100,358.591700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308805,1.733388,-2.330185,326.641400,55.792500,190.535800
