time,frame_id,marker_id,pos_x,pos_y,pos_z
53.2206,0,6683,1.396165,-0.005114,0.123120
53.2206,0,6707,0.046331,-0.007987,0.561122
53.2206,0,6767,1.298767,-0.030900,0.743684
53.2317,0,6650,0.028110,0.016718,-0.009474
53.2317,0,6683,1.396159,-0.005128,0.123106
53.2317,0,6707,0.046231,-0.008071,0.561061
53.2317,0,6767,1.298786,-0.030856,0.743687
53.2427,0,6650,0.028108,0.016691,-0.009489
53.2427,0,6683,1.396166,-0.005090,0.123138
53.2427,0,6707,0.046306,-0.008009,0.561119
53.2427,0,6767,1.298778,-0.030889,0.743696
53.2540,0,6650,0.028113,0.016715,-0.009481
53.2540,0,6683,1.396170,-0.005110,0.123117
53.2540,0,6707,0.041491,-0.012328,0.557630
53.2540,0,6767,1.298770,-0.030897,0.743697
53.2650,0,6650,0.028105,0.016708,-0.009482
53.2650,0,6683,1.396159,-0.005141,0.123103
53.2650,0,6707,0.046365,-0.007963,0.561123
53.2650,0,6767,1.298780,-0.030878,0.743690
53.2764,0,6650,0.028110,0.016709,-0.009484
53.2764,0,6683,1.396157,-0.005138,0.123103
53.2764,0,6707,0.045554,-0.008718,0.560644
53.2764,0,6767,1.298778,-0.030877,0.743680
53.2869,0,6650,0.028113,0.016701,-0.009493
53.2869,0,6683,1.396167,-0.005111,0.123122
53.2869,0,6707,0.041503,-0.012344,0.557635
53.2869,0,6767,1.298778,-0.030883,0.743691
53.2984,0,6650,0.028104,0.016710,-0.009486
53.2984,0,6683,1.396172,-0.005109,0.123118
53.2984,0,6707,0.046408,-0.007974,0.561136
53.2984,0,6767,1.298771,-0.030897,0.743699
53.3095,0,6650,0.028112,0.016711,-0.009483
53.3095,0,6683,1.396162,-0.005121,0.123112
53.3095,0,6707,0.046426,-0.007938,0.561139
53.3095,0,6767,1.298781,-0.030886,0.743696
53.3204,0,6650,0.028107,0.016704,-0.009488
53.3204,0,6683,1.396162,-0.005094,0.123130
53.3204,0,6707,0.046491,-0.007881,0.561171
53.3204,0,6767,1.298777,-0.030890,0.743691
