time,frame_id,marker_id,pos_x,pos_y,pos_z
8,4431,9011,7252,0.109375,1.266500,0.600000
8,4431,9011,7253,0.218750,1.133000,0.600000
8,4528,9012,7251,0.000000,1.400000,0.600000
8,4528,9012,7252,0.093750,1.276500,0.600000
8,4528,9012,7253,0.187500,1.153000,0.600000
8,4624,9013,7251,0.000000,1.400000,0.600000
8,4624,9013,7252,0.073125,1.291500,0.600000
8,4624,9013,7253,0.146250,1.183000,0.600000
8,4715,9014,7251,0.000000,1.400000,0.600000
8,4715,9014,7252,0.063125,1.297000,0.600000
8,4715,9014,7253,0.126250,1.194000,0.600000
8,4850,9015,7251,0.000000,1.400000,0.600000
8,4850,9015,7252,0.049375,1.306500,0.600000
8,4850,9015,7253,0.098750,1.213000,0.600000
8,4946,9016,7251,0.000000,1.400000,0.600000
8,4946,9016,7252,0.043125,1.311000,0.600000
8,4946,9016,7253,0.086250,1.222000,0.600000
8,5043,9017,7251,0.000000,1.400000,0.600000
8,5043,9017,7252,0.037500,1.317500,0.600000
8,5043,9017,7253,0.075000,1.235000,0.600000
8,5142,9018,7251,0.000000,1.400000,0.600000
8,5142,9018,7252,0.037500,1.317500,0.600000
8,5142,9018,7253,0.075000,1.235000,0.600000
8,5234,9019,7251,0.000000,1.400000,0.600000
8,5234,9019,7252,0.037500,1.318000,0.600000
8,5234,9019,7253,0.075000,1.236000,0.600000
8,5323,9020,7251,0.000000,1.400000,0.600000
8,5323,9020,7252,0.037500,1.318000,0.600000
8,5323,9020,7253,0.075000,1.236000,0.600000
8,5451,9021,7251,0.000000,1.400000,0.600000
8,5451,9021,7252,0.037500,1.318000,0.600000
8,5451,9021,7253,0.075000,1.236000,0.600000
8,5535,9022,7251,0.000000,1.400000,0.600000
8,5535,9022,7252,0.037500,1.318000,0.600000
8,5535,9022,7253,0.075000,1.236000,0.600000
8,5636,9023,7251,0.000000,1.400000,0.600000
8,5636,9023,7252,0.037500,1.318000,0.600000
8,5636,9023,7253,0.075000,1.236000,0.600000
8,5761,9024,7251,0.000000,1.400000,0.600000
8,5761,9024,7252,0.037500,1.318000,0.600000
8,5761,9024,7253,0.075000,1.236000,0.600000
8,5846,9025,7251,0.000000,1.400000,0.600000
8,5846,9025,7252,0.037500,1.318000,0.600000
8,5846,9025,7253,0.075000,1.236000,0.600000
8,5983,9026,7251,0.000000,1.400000,0.600000
8,5983,9026,7252,0.037500,1.318000,0.600000
8,5983,9026,7253,0.075000,1.236000,0.600000
8,6073,9027,7251,0.000000,1.400000,0.600000
8,6073,9027,7252,0.037500,1.318000,0.600000
8,6073,9027,7253,0.075000,1.236000,0.600000
8,6163,9028,7251,0.000000,1.400000,0.600000
8,6163,9028,7252,0.037500,1.318000,0.600000
8,6163,9028,7253,0.075000,1.236000,0.600000
